Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,Hshot,Ashot,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,Season
E0,20/10/2014,West Brom,Man United,2,2,D,1,0,H,M Dean,8,22,2,7,6,8,0,11,1,2,0,0,5,4,1.75,4.5,4.1,1.75,4.7,3.6,1.7,2014/15
E0,25/10/2014,Liverpool,Hull,0,0,D,0,0,D,N Swarbrick,17,6,4,3,12,17,14,1,3,2,0,0,1.44,4.75,8,1.45,4.25,7,1.4,4.6,6.8,2014/15
E0,25/10/2014,Southampton,Stoke,1,0,H,1,0,H,J Moss,20,8,2,1,10,12,6,3,0,2,0,0,1.65,4,6,1.65,3.75,6,1.6,3.8,5.2,2014/15
E0,25/10/2014,Sunderland,Arsenal,0,2,A,0,1,A,K Friend,11,15,3,5,11,9,3,3,3,3,0,0,5.5,3.8,1.73,5.25,3.7,1.72,4.9,3.7,1.65,2014/15
E0,25/10/2014,Swansea,Leicester,2,0,H,1,0,H,M Jones,7,9,3,4,7,10,2,2,0,0,0,0,1.95,3.7,4.2,1.95,3.6,4,1.85,3.45,4,2014/15
E0,25/10/2014,West Brom,Crystal Palace,2,2,D,0,2,A,M Clattenburg,17,8,4,6,14,8,6,3,3,1,0,0,1.91,3.6,4.5,1.91,3.4,4,1.9,3.45,3.8,2014/15
E0,25/10/2014,West Ham,Man City,2,1,H,1,0,H,M Atkinson,12,21,4,5,12,14,4,8,2,1,0,0,6.5,4.5,1.55,6,4.2,1.57,5.6,3.9,1.55,2014/15
E0,26/10/2014,Burnley,Everton,1,3,A,1,2,A,A Marriner,14,15,3,6,12,7,5,4,4,2,0,0,4.75,3.75,1.83,4.6,3.6,1.85,4.2,3.5,1.8,2014/15
E0,26/10/2014,Man United,Chelsea,1,1,D,0,0,D,P Dowd,19,9,7,4,13,14,4,7,3,5,0,1,2.88,3.6,2.5,2.75,3.5,2.55,2.6,3.2,2.6,2014/15
E0,26/10/2014,Tottenham,Newcastle,1,2,A,1,0,H,A Taylor,17,8,2,2,9,12,10,2,2,4,0,0,1.75,3.9,5,1.8,3.75,4.6,1.7,3.6,4.7,2014/15
E0,27/10/2014,QPR,Aston Villa,2,0,H,1,0,H,L Mason,11,15,4,6,11,14,2,4,0,2,0,0,2.38,3.25,3.4,2.4,3.3,3.1,2.3,3.3,2.9,2014/15
E0,01/11/2014,Arsenal,Burnley,3,0,H,0,0,D,C Pawson,32,6,13,2,5,9,18,1,0,1,0,0,1.25,6.5,14,1.28,5.5,9.5,1.3,5,9,2014/15
E0,01/11/2014,Chelsea,QPR,2,1,H,1,0,H,M Jones,18,7,8,1,8,12,13,2,0,0,0,0,1.17,8.5,21,1.18,6.25,15,1.17,6.5,14,2014/15
E0,01/11/2014,Everton,Swansea,0,0,D,0,0,D,K Friend,17,8,3,0,10,15,11,0,2,3,0,1,1.75,3.8,5.25,1.75,3.6,4.5,1.72,3.6,4.6,2014/15
